hanzi,pinyin,english,page
迷路,mílù,to get lost,97
迷失,míshī,to lose (one's way),97
谜,mí,puzzle,97
谜底,mídǐ,answer to a riddle,97
谜团,mítuán,doubts and suspicions,97
谜语,míyǔ,riddle,97
秘方,mìfāng,secret recipe,97
秘诀,mìjué,secret (of success),97
密不可分,mìbùkěfēn,inseparable,97
密度,mìdù,density,97
密封,mìfēng,to seal,97
密集,míjí,v. to crowd together; adj. dense,97
蜜,mì,honey,97
蜜蜂,mìfēng,bee,97
蜜月,mìyuè,honeymoon,97
棉花,mián∙huā,cotton,97
免,miǎn,to waive,97
免不了,miǎnbuliǎo,to be inevitable,97
免除,miǎnchú,to exempt,97
免疫,miǎnyì,to immunize,97
免职,miǎnzhí,to remove someone from office,97
勉强,miǎnqiǎng,adj. reluctant; v. to force,98
缅怀,miǎnhuái,to cherish the memory of,98
面部,miànbù,face,98
面粉,miànfěn,flour,98
面红耳赤,miànhóngěrchì,red in the face,98
面面俱到,miànmiànjùdào,to take all aspects into account,98
面目全非,miànmùquánfēi,to change beyond recognition,98
苗,miáo,seedling,98
苗条,miáotiao,slim,98
苗头,miáotou,first signs; development (of a situation),98
描绘,miáohuì,to depict,98
瞄准,miáozhǔn,to aim,98
渺小,miǎoxiǎo,negligible,98
庙,miào,temple,98
庙会,miàohuì,temple fair,98
灭绝,mièjué,to become extinct,98
灭亡,mièwáng,to be destroyed; to die out,98
民办,mínbàn,privately run,98
民俗,mínsú,folk customs,98
民用,mínyòng,for civilian use,98
民众,mínzhòng,common people; the masses,98
敏捷,mǐnjié,agile,98
敏锐,mǐnruì,keen,98
名副其实,míngfùqíshí,to be worthy of the name,98
名贵,míngguì,precious; rare,98
名利,mínglì,fame and fortune,98
名气,míngqi,fame,98
名声,míngshēng,reputation,98
名言,míngyán,well-known saying,98
名著,míngzhù,masterpiece,98
明朗,mínglǎng,bright and clear; obvious,99
明媚,míngmèi,bright and beautiful,99
明智,míngzhì,wise; sagacious,99
铭记,míngjì,to always remember,99
命,mìng,to assign a name; to command,99
命名,mìngmíng,to bestow a name on,99
命题,mìngtí,n. proposition; v. to assign a topic,99
摸索,mō∙suǒ,to grope,99
模拟,mónǐ,to simulate,99
磨合,móhé,to break or wear in (a vehicle or machine),99
磨难,mónàn,suffering; tribulation,99
磨损,mósǔn,to suffer wear and tear,99
蘑菇,mógu,mushroom,99
魔鬼,móguǐ,devil,99
魔术,móshù,magic,99
抹,mǒ,to wipe,99
末日,mòrì,end; doomsday,99
没落,mòluò,to decline,99
陌生,mòshēng,strange; unknown,99
莫非,mòfēi,could it be; is it possible that,99
莫过于,mòguòyú,nothing is more…than; nothing can surpass,99
莫名其妙,mòmíngqímiào,baffling; inexplicable,99
漠然,mòrán,indifferent,99
墨,mò,ink,99
默读,mòdú,to read silently,99
默默无闻,mòmòwúwén,unknown to the public,99
默契,mòqì,adj. working well together; n. tacit agreement,99
谋害,móuhài,to plot a murder,99
谋求,móuqiú,to seek,99
谋生,móushēng,about:blankmake a living,99
牡丹,mǔdan,peony,100
亩,mǔ,mu (a measure word for space),100
木板,mùbǎn,board,100
木材,mùcái,wood,100
木匠,mù∙jiàng,carpenter,100
木偶,mù'ǒu,puppet,100
目不转睛,mùbùzhuǎnjīng,to regard with rapt attention,100
目瞪口呆,mùdèngkǒudāi,stunned,100
目的地,mùdìdì,destination,100
目睹,mùdǔ,to witness,100
目录,mùlù,table of contents,100
目中无人,mùzhōngwúrén,condescending; to consider everyone beneath one's notice,100
沐浴露,mùyùlù,shower gel,100
牧场,mùchǎng,pasture,100
牧民,mùmín,herdsman,100
募捐,mùjuān,to fundraise,100
墓碑,mùbēi,tombstone,100
墓地,mùdì,cemetery,100
幕,mù,screen,100
幕后,mùhòu,behind the scene,100
穆斯林,mùsīlín,Muslim,100
拿手,náshǒu,good at; adept,100
哪知道,nǎ zhīdào,Who would have thought that…?,100
呐喊,nàhǎn,to shout,100
纳闷儿,nàmènr,to be confused,100
纳入,nàrù,to incorporate,100
纳税,nàshuì,to pay taxes,100
纳税人,nàshuìrén,taxpayer,100
乃,nǎi,so; therefore,100
乃至,nǎizhì,and even,101
耐,nài,to be durable; to withstand,101
耐人寻味,nàirénxúnwèi,intriguing,101
耐性,nàixìng,patience,101
南瓜,nán∙guā,pumpkin,101
难处,nánchù,difficulty,101
难得一见,nándé yí jiàn,rarely seen,101
难点,nándiǎn,difficulty,101
难怪,nánguài,"adv. no wonder, v. to be understandable",101
难关,nánguān,difficulty; crisis,101
难堪,nánkān,v. to embarrass; adj. embarrassed,101
难说,nánshuō,difficult to say,101
难为情,nánwéiqíng,embarrassed; embarassing,101
难以想象,nányǐxiǎngxiàng,unimaginable,101
难以置信,nányǐzhìxìn,incredible,101
挠,náo,to scratch,101
恼羞成怒,nǎoxiūchéngnù,to fly into a rage out of shame,101
脑海,nǎohǎi,brain,101
脑筋,nǎojīn,brain,101
闹事,nàoshì,to make trouble,101
闹着玩儿,nàozhewánr,to joke; to not take seriously,101
内存,nèicún,computer memory,101
内阁,nèigé,cabinet,101
内涵,nèihán,connotation,101
内行,nèiháng,expert,101
内幕,nèimù,inside story,101
内向,nèixiàng,introverted,101
内需,nèixū,domestic demand,101
嫩,nèn,tender,101
能耗,nénghào,energy consumption,101
能耐,néngnai,n. ability; adj. able,102
能人,néngrén,a capable person,102
能源,néngyuán,energy (resources),102
尼龙,nílóng,nylon,102
泥潭,nítán,quagmire,102
泥土,nítǔ,soil,102
拟,nǐ,to propose,102
拟定,nǐdìng,to draw up,102
逆,nì,to go against; to defy,102
匿n,nìmíng,to anonymize,102
年画,niánhuà,New Year painting,102
年迈,niánmài,old,102
年限,niánxiàn,period; fixed number of years,102
年薪,niánxīn,annual salary,102
年夜饭,niányèfàn,New Year's Eve gathering,102
年终,niánzhōng,end of the year,102
黏,nián,sticky,102
念念不忘,niànniànbúwàng,to never forget,102
念书,niànshū,to study,102
念头,niàntou,idea,102
娘,niáng,mother; young woman,102
酿造,niàngzào,to brew,102
鸟巢,niǎocháo,bird's nest,102
尿,niào,v. to urinate; n. urine,102
捏,niē,to pinch,102
拧,níng,to twist; to wring,102
凝固,nínggù,to solidify,102
凝聚,níngjù,to condense,102
拧,nǐng,to screw,102
宁可,nìngkě,rather,102
宁愿,nìngyuàn,would rather,103
扭曲,niǔqū,to distort,103
扭头,niǔtóu,to turn around; to turn away,103
扭转,niǔzhuǎn,to reverse,103
纽带,niǔdài,link,103
纽扣,niǔkòu,button,103
农场,nóngchǎng,farm,103
农历,nónglì,lunar calendar,103
农民工,nóngmíngōng,migrant workers,103
农作物,nóngzuòwù,crops,103
浓厚,nónghòu,strong,103
浓缩,nóngsuō,to concentrate,103
浓郁,nóngyù,(of fragrance) strong,103
浓重,nóngzhòng,strong,103
弄虚作假,nòngxūzuòjiǎ,to fake; to employ trickery,103
奴隶,núlì,slave,103
女婿,nǚxu,son-in-law,103
暖烘烘,nuǎnhōnghōng,nice and warm,103
虐待,nüèdài,to abuse,103
挪,nuó,to move,103
诺言,nuòyán,promise,103
哦,ò,oh,103
殴打,ōudǎ,to beat,103
呕吐,ǒutù,to vomit,103
趴,pā,lie on one's stomach,103
拍板,pāibǎn,to beat time with clappers; to have the final say,103
拍卖,pāimài,to auction,103
拍戏,pāixì,to make a film,103
排斥,páichì,to exclude,103
排放,páifàng,to emit,103
排练,páiliàn,to rehearse,104
徘徊,páihuái,to walk to and fro; to hesitate,104
牌照,páizhào,license plate,104
派别,pàibié,faction,104
派遣,pàiqiǎn,to send,104
攀,pān,to climb,104
攀升,pānshēng,to rise; to ascend,104
盘,pán,to check; to examine,104
盘算,pánsuan,to calculate,104
判处,pànchǔ,to sentence; to condemn,104
判定,pàndìng,to determine; to judge,104
判决,pànjué,to pronounce; to pass judgement,104
盼,pàn,to hope,104
叛逆,pànnì,v. to rebel; n. rebel,104
庞大,pángdà,huge,104
旁观,pángguān,to stand by; to look on,104
抛,pāo,to throw; to cast aside,104
抛开,pāokāi,to get rid of,104
抛弃,pāoqì,to abandon,104
刨,páo,to excavate,104
跑车,pǎochē,sports car,104
跑道,pǎodào,track; runway,104
跑龙套,pǎo lóngtào,to play a small role,104
泡沫,pàomò,foam,104
胚胎,pēitāi,embryo,104
陪伴,péibàn,to accompany,104
陪葬,péizàng,to be buried with the dead,104
赔钱,péiqián,to lose money,104
佩服,pèi∙fú,to admire,104
配件,pèijiàn,accessories,104
配偶,pèi'ǒu,spouse,105
配送,pèisòng,to deliver,105
配音,pèiyīn,to dub (a film),105
喷泉,pēnquán,fountain,105
抨击,pēngjī,to attack (in speech or writing),105
烹调,pēngtiáo,to cook,105
蓬勃,péngbó,vigorous,105
鹏程万里,péngchéngwànlǐ,to prosper; to have a bright future,105
膨胀,péngzhàng,to swell,105
捧,pěng,to hold in both hands,105
捧场,pěngchǎng,to attend in support; to cheer on,105
碰钉子,pèng dīngzi,hit a snag,105
碰巧,pèngqiǎo,by coincidence,105
碰上,pèngshang,encounter,105
碰撞,pèngzhuàng,to collide,105
批发,pīfā,to wholesale,105
批判,pīpàn,to criticize,105
披露,pīlù,to disclose,105
劈,pī,to hack; to cleave,105
皮带,pídài,belt,105
疲惫,píbèi,exhausted,105
疲惫不堪,píbèibùkān,utterly exhausted,105
疲倦,píjuàn,tired; weary,105
疲劳,píláo,fatigue,105
脾,pí,spleen,105
匹配,pǐpèi,to match,105
媲美,pìměi,to compare favorably,105
僻静,pìjìng,secluded,105
譬如,pìrú,for example,105
譬如说,pìrú shuō,for example,105
片子,piānzi,film,106
偏差,piānchā,deviation,106
偏方,piānfāng,folk remedy,106
偏见,piānjiàn,bias,106
偏僻,piānpì,remote,106
偏偏,piānpiān,incidentally; contrarily,106
偏向,piānxiàng,v. to be partial towards; n. erroneous tendency,106
偏远,piānyuǎn,remote,106
篇幅,piān∙fú,space (on a printed page); length (of a piece of writing),106
片段,piànduàn,excerpt; paragraph,106
骗人,piàn rén,to deceive; to trick,106
漂,piāo,to drift,106
飘,piāo,v. to float in the wind; adj. frivolous,106
票房,piàofáng,box office,106
撇,piě,v. to fling; n. leftfalling stroke (in calligraphy),106
拼搏,pīnbó,to struggle hard,106
拼命,pīnmìng,to do with all one's might,106
贫富,pín fù,poor and rich,106
贫穷,pínqióng,poor,106
频率,pínlǜ,frequency,106
频频,pínpín,repeatedly,106
品尝,pǐncháng,to taste,106
品德,pǐndé,moral character,106
品位,pǐnwèi,quality; good taste,106
品行,pǐnxíng,moral conduct,106
聘,pìn,to hire,106
聘任,pìnrèn,to appoint,106
聘用,pìnyòng,to hire,106
乒乓球,pīngpāngqiú,pingpong,106
平常心,píngchángxīn,levelheadedness,107
平淡,píngdàn,dull,107
平和,pínghé,adj. mild; v. to be at peace,107
平价,píngjià,v. to offer a fair price; n. parity,107
平面,píngmiàn,flat,107
平民,píngmín,civilian,107
平日,píngrì,every day,107
平息,píngxī,to calm down,107
评定,píngdìng,to assess,107
评论员,pínglùnyuán,commentator,107
评判,píngpàn,to judge,107
评审,píngshěn,to appraise,107
评委,píngwěi,member of a review committee,107
凭借,píngjiè,to rely on,107
凭着,píngzhe,relying on,107
凭证,píngzhèng,certificate,107
瓶颈,píngjǐng,bottleneck,107
萍水相逢,píngshuǐxiāngféng,to meet by chance,107
泼冷水,pō lěngshuǐ,to pour cold water on; to dampen the enthusiasm or spirits of,107
颇,pō,quite,107
迫不及待,pòbùjídài,can't wait,107
迫害,pòhài,to persecute,107
迫使,pòshǐ,to force,107
破案,pòàn,to crack the case; to solve a case,107
破除,pòchú,to get rid of,107
破解,pòjiě,to decipher; to explain,107
破旧,pòjiù,old and wornout,107
破裂,pòliè,to rupture,107
破灭,pòmiè,to shatter; to evaporate,107
破碎,pòsuì,to break,108
魄力,pòlì,courage,108
扑克,pūkè,poker,108
扑面而来,pūmiànérlái,eye-catching; directly in one's face,108
铺路,pūlù,to pave a road,108
菩萨,pú∙sà,Buddha; Bodhisattva,108
朴实,pǔshí,simple,108
朴素,pǔsù,simple,108
普通人,pǔtōng rén,ordinary person,108
谱,pǔ,v. to compose; n. guidebook; (physics) spectrum,108
瀑布,pùbù,waterfall,108
七嘴八舌,qīzuǐbāshé,talking over one another; everyone trying to get a word in,108
沏,qī,to steep,108
凄凉,qīliáng,desolate,108
期盼,qīpàn,to look forward to,108
欺骗,qīpiàn,to cheat,108
欺诈,qīzhà,to swindle,108
漆,qī,n. paint; v. to paint,108
齐心协力,qíxīnxiélì,to work together as one,108
其后,qíhòu,then,108
其间,qíjiān,in the meantime,108
奇花异草,qíhuāyìcǎo,exotic flowers and rare herbs,108
奇迹,qíjì,miracle,108
奇特,qítè,peculiar,108
歧视,qíshì,to discriminate against,108
祈祷,qídǎo,to pray,108
棋,qí,chess,108
棋子,qízǐ,chess piece,108
旗袍,qípáo,cheongsam,108
旗帜,qízhì,banner,109
乞丐,qǐgài,beggar,109
乞求,qǐqiú,to beg,109
乞讨,qǐtǎo,to beg,109
岂有此理,qǐyǒucǐlǐ,preposterous,109
启迪,qǐdí,to enlighten,109
启蒙,qǐméng,to enlighten; to instruct the young,109
启示,qǐshì,v. to enlighten; n. enlightenment,109
起步,qǐbù,to start,109
起草,qǐcǎo,draft,109
起程,qǐchéng,to leave; to set out (on a journey),109
起初,qǐchū,at first,109
起伏,qǐfú,to undulate; ups and downs,109
起劲,qǐjìn,vigorous,109
起跑线,qǐpǎoxiàn,starting line,109
起源,qǐyuán,v. to originate; n. origin,109
气愤,qìfèn,indignant,109
气管,qìguǎn,trachea,109
气馁,qìněi,discouraged; dejected,109
气派,qìpài,n. imposing manner; adj. stylish; magnificent,109
气泡,qìpào,bubble,109
气魄,qìpò,boldness of vision; imposing manner,109
气势,qìshì,momentum,109
气味,qìwèi,odor,109
气息,qìxī,breath,109
气质,qìzhì,temperament,109
迄今,qìjīn,so far,109
迄今为止,qìjīnwéizhǐ,so far,109
契机,qìjī,opportunity; turning point,109
契约,qìyuē,contract; deed,109
器材,qìcái,equipment,110
器械,qìxiè,instrument; apparatus,110
掐,qiā,to pinch,110
卡,qiǎ,to block,110
卡子,qiǎzi,fastener,110
洽谈,qiàtán,to discuss together,110
恰到好处,qiàdàohǎochù,just right; fit for purpose,110
恰恰相反,qiàqià xiāngfǎn,just the opposite,110
恰巧,qiàqiǎo,by chance,110
恰如其分,qiàrúqífèn,apt; just right,110
千变万化,qiānbiànwànhuà,ever-changing,110
千方百计,qiānfāngbǎijì,by every possible means,110
千家万户,qiānjiāwànhù,every family,110
千军万马,qiānjūnwànmǎ,a mighty force,110
千钧一发,qiānjūnyífà,in a most dangerous condition,110
迁,qiān,to move,110
迁就,qiānjiù,to accommodate oneself to,110
迁移,qiānyí,to migrate,110
牵扯,qiānchě,to involve,110
牵挂,qiānguà,to be concerned about,110
牵涉,qiānshè,to involve,110
牵头,qiāntóu,to take the lead,110
牵制,qiānzhì,to contain,110
铅,qiān,lead,110
谦逊,qiānxùn,humble; unassuming,110
签,qiān,signature,110
签署,qiānshǔ,to sign,110
前辈,qiánbèi,senior,110
前不久,qiánbùjiǔ,not long ago,110
前赴后继,qiánfùhòujì,to advance wave after wave,110
前期,qiánqī,early stage,111
前任,qiánrèn,predecessor,111
前所未有,qiánsuǒwèiyǒu,unprecedented,111
前台,qiántái,front desk,111
前无古人,qiánwúgǔrén,unprecedented,111
前夕,qiánxī,eve,111
前线,qiánxiàn,frontline,111
前沿,qiányán,cutting edge; front-line,111
前仰后合,qiányǎnghòuhé,to rock (with laughter),111
前者,qiánzhě,the former,111
虔诚,qiánchéng,pious,111
钱财,qiáncái,money,111
钳子,qiánzi,pliers,111
潜能,qiánnéng,potential,111
潜水,qiánshuǐ,to dive,111
潜艇,qiántǐng,submarine,111
潜移默化,qiányímòhuà,to exert subtle influence on,111
潜在,qiánzài,potential,111
谴责,qiǎnzé,to condemn,111
欠缺,qiànquē,v. to be deficient in; n. deficiency,111
欠条,qiàntiáo,receipt for a loan,111
歉意,qiànyì,apology,111
呛,qiāng,to choke,111
枪毙,qiāngbì,to execute by shooting,111
腔,qiāng,cavity,111
强加,qiángjiā,to impose,111
强劲,qiángjìng,forceful,111
强项,qiángxiàng,key strength; strong suit,111
强行,qiángxíng,by force,111
强硬,qiángyìng,tough,111
强占,qiángzhàn,to occupy by force,112
强制,qiángzhì,to force,112
抢夺,qiǎngduó,to snatch,112
抢劫,qiǎngjié,to rob,112
抢眼,qiǎngyǎn,eye-catching,112
敲边鼓,qiāo biāngǔ,to support someone in an argument,112
敲诈,qiāozhà,to blackmail,112
乔装,qiáozhuāng,to disguise oneself,112
瞧不起,qiáobuqǐ,to look down ion; to scorn,112
巧合,qiǎohé,by chance,112
窍门,qiàomén,knack; ingenious method,112
翘,qiào,to lift (one's head),112
撬,qiào,to pry,112
切除,qiēchú,to resect; to excise,112
切断.,qiēduàn,to cut off,112
切割,qiēgē,to cut,112
且1,qiě,for the time being,112
且2,qiě,and; both,112
切身,qièshēn,first-hand; concerning oneself,112
窃取,qièqǔ,to steal; to usurp,112
钦佩,qīnpèi,to admire,112
侵害,qīnhài,to infringe on,112
侵略,qīnlüè,to aggress,112
侵权,qīnquán,to infringe another's rights,112
侵占,qīnzhàn,to invade and occupy,112
亲和力,qīnhélì,affinity,112
亲近,qīnjìn,adj. close; v. to be on intimate terms with,112
亲朋好友,qīnpénghǎoyǒu,relatives and friends,112
亲戚,qīnqi,relative,112
亲情,qīnqíng,affection,112
亲热,qinrè,adj. affectionate; v. to show love and affection,113
亲身,qīnshēn,personal,113
亲生,qīnshēng,one's own (children or parents),113
亲手,qīnshǒu,with one's own hands,113
亲友,qīnyǒu,relatives and friends,113
勤工俭学,qíngōngjiǎnxué,work-study program,113
勤快,qínkuai,diligent,113
勤劳,qínláo,diligent,113
寝室,qǐnshì,bedroom; dormitory,113
青春期,qīngchūnqī,puberty,113
青蛙,qīngwā,frog,113
轻而易举,qīng'éryìjǔ,easy to do,113
轻蔑,qīngmiè,to contempt; to disdain,113
轻微,qīngwēi,slight,113
轻型,qīngxíng,light,113
倾家荡产,qīngjiādàngchǎn,to lose one's fortune,113
倾诉,qīngsù,to pour out one's heart,113
倾听,qīngtīng,to listen attentively to,113
倾销,qīngxiāo,to dump goods,113
倾斜,qīngxié,to tilt,113
清除,qīngchú,to remove,113
清脆,qīngcuì,crisp,113
清单,qīngdān,detailed list,113
清淡,qīngdàn,mild; light,113
清静,qīngjìng,quiet,113
清凉,qīngliáng,cool and refreshing,113
清明,qīngmíng,clear and bright,113
清晰,qīngxī,clear; distinct,113
清新,qīngxīn,fresh,113
清真寺,qingzhēnsì,mosque,113
情,qíng,affection,114
情报,qíngbào,intelligence; information,114
情不自禁,qíngbúzìjīn,cannot help (doing something),114
情调,qíngdiào,emotional appeal; sentiment,114
情怀,qínghuái,feelings,114
情结,qíngjié,complex (psychology),114
情侣,qínglǚ,couple,114
情人,qíngrén,lover,114
情谊,qíngyì,bonds of friendship,114
情愿,qíngyuàn,v. to be willing; adv. would rather,114
请柬,qǐngjiǎn,invitation,114
请帖,qǐngtiě,invitation,114
庆典,qìngdiǎn,celebration,114
庆贺,qìnghè,to celebrate,114
庆幸,qìngxìng,to rejoice,114
丘陵,qiūlíng,hills,114
囚犯,qiúfàn,prisoner,114
求婚,qiúhūn,n. marriage proposal; v. to propose marriage,114
求救,qiújiù,to ask for help,114
求学,qiúxué,to pursue one's studies,114
求医,qiúyī,to seek medical treatment,114
求证,qiúzhèng,to seek evidence,114
求助,qiúzhù,to ask for help,114
曲线,qūxiàn,curve,114
曲折,qūzhé,tortuous; winding,114
驱动,qūdòng,to drive; to impel,114
驱逐,qūzhú,to banish; to expel,114
屈服,qūfú,to yield; to submit,114
趋于,qūyú,to tend towards,114
曲,qǔ,song,114
取代,qǔdài,to replace,115
取缔,qǔdì,to ban,115
取而代之,qǔ'érdàizhī,to replace somebody,115
取经,qǔjīng,to go on a pilgrimage for Buddhist scriptures,115
取决于,qǔjué yú,to depend on,115
取暖,qǔnuǎn,"to warm oneself (by a fire, etc.)",115
取胜,qǔshèng,to win a victory,115
取笑,qǔxiào,to make fun of,115
娶,qǔ,(of a male) to marry (a female),115
去除,qùchú,to remove,115
去处,qùchù,place; whereabouts,115
去向,qùxiàng,whereabouts,115
趣味,qùwèi,taste; liking,115
圈套,quāntào,trap,115
圈子,quānzi,circle,115
权衡,quánhéng,to weigh (a matter); to consider,115
权威,quánwēi,authority,115
权益,quányì,rights and interests,115
全长,quáncháng,full length,115
全程,quánchéng,throughout the journey,115
全方位,quánfāngwèi,allaround; holistic,115
全局,quánjú,overall situation,115
全力以赴,quánlìyǐfù,to go all out,115
全能,quánnéng,omnipotent,115
全文,quánwén,full text,115
全心全意,quánxīnquányì,whole-heartedly,115
拳,quán,n. fist; v. to curl,115
拳头,quán∙tóu,fist,115
劝告,quàngào,v. to advise; n. advice,115
劝说,quànshuō,to persuade,115
劝阻,quànzǔ,to dissuade,116
缺口,quēkǒu,gap,116
缺失,quēshī,n. lack; v. to lack,116
缺席,quēxí,to be absent from,116
确切,quèqiè,exact,116
确信,quèxìn,to be confident of; to be convinced,116
确凿,quèzáo,conclusive,116
确诊,quèzhěn,to diagnose,116
燃放,ránfàng,"to set off (fireworks, etc.)",116
燃气,ránqì,gas,116
燃油,rányóu,fuel oil,116
嚷,rǎng,to shout,116
让步,ràngbù,concession; to concede,116
饶,ráo,to spare; to have mercy on,116
饶恕,ráoshù,to forgive,116
扰乱,rǎoluàn,to disturb,116
绕行,ràoxíng,to bypass,116
惹,rě,to provoke,116
热潮,rècháo,upsurge,116
热带,rèdài,tropical area,116
热气,rèqì,heat,116
热气球,rèqìqiú,hot air balloon,116
热腾腾,rèténgténg,steaming hot,116
热衷,rèzhōng,to crave; to be fond of,116
人次,réncì,measure word for number of people particpating,116
人道,réndào,n. humanity; adj. humane,116
人格,réngé,personality,116
人工智能,réngōngzhìnéng,artificial intelligence,116
人均,rénjūn,per capita,116
人品,rénpǐn,character; moral standing,116
人气,rénqì,popularity,117
人情,rénqíng,sensibilities; feelings,117
人身,rénshēn,personal; human body,117
人事,rénshì,personnel,117
人手,rénshǒu,manpower,117
人体,réntǐ,human body,117
人为,rénwéi,artificial; man-made,117
人文,rénwén,humanities; human affairs,117
人行道,rénxíngdào,sidewalk,117
人性,rénxìng,human nature,117
人选,rénxuǎn,candidate,117
人缘儿,rényuánr,relations with people,117
人造,rénzào,artificial,117
人质,rénzhì,hostage,117
仁慈,réncí,kind; benevolent,117
忍饥挨饿,rěnjīái'è,to endure the torments of hunger,117
忍耐,rěnnài,to endure,117
忍心,rěnxīn,to be hardhearted enough to,117
认错,rèncuò,to admit a mistake,117
认证,rènzhèng,to certify; to authenticate,117
认知,rènzhī,to cognize,117
任命,rènmìng,to appoint,117
任期,rènqī,term of office,117
任人宰割,rènrénzǎigē,to get trampled on; to be taken advantage of,117
任意,rènyì,arbitrarily,117
任职,rènzhí,to take office,117
韧性,rènxìng,toughness,117
日程,rìchéng,schedule,117
日复一日,rìfùyírì,day in and day out,117
日后,rìhòu,in the future,117
日前,rìqián,a few days ago,118
日趋,rìqū,with each passing day,118
日新月异,rìxīnyuèyì,to change with each passing day,118
日益,rìyì,increasingly,118
荣获,rónghuò,to win an honor,118
荣幸,róngxìng,honored,118
荣誉,róngyù,honor,118
容光焕发,róngguānghuànfā,face glowing; looking radiant,118
容量,róngliàng,capacity,118
容纳,róngnà,to accommodate,118
容忍,róngrěn,to tolerate,118
容许,róngxǔ,to allow,118
容颜,róngyán,appearance; complexion,118
溶解,róngjiě,to dissolve,118
融,róng,to melt,118
融化,rónghuà,to melt,118
融洽,róngqià,harmonious,118
冗长,rǒngcháng,lengthy; tediously long,118
柔和,róuhé,soft,118
柔软,róuruǎn,soft,118
揉,róu,to rub,118
如果说,rúguǒ shuō,if; if one were to say,118
如实,rúshí,realistically,118
如意,rúyì,as one wishes,118
如愿以偿,rúyuànyǐcháng,to realize one's dream,118
如醉如痴,rúzuìrúchī,to be obsessed with; to be intoxicated by,118
儒家,Rújiā,Confucian,118
儒学,rúxué,Confucianism,118
入场,rùchǎng,to enter the venue,118
入场券,rùchǎngquàn,admission ticket,118
入境,rùjìng,to enter a country,119
入侵,rùqīn,to invade,119
入手,rùshǒu,to begin with; to set one's hand to,119
入选,rùxuǎn,to be selected,119
软弱,ruǎnruò,weak,119
软实力,ruǎnshílì,soft power,119
瑞雪,ruìxuě,timely snow,119
润,rùn,adj. moisturized; v. to moisturize,119
若干,ruògān,several; various,119
弱点,ruòdiǎn,weakness,119
弱势,ruòshì,disadvantage,119
撤,sā,to let loose; to discharge,119
撒谎,sāhuǎng,to tell a lie,119
赛车,sàichē,racing car,119
赛跑,sàipǎo,to race,119
三番五次,sānfānwǔcì,time and time again,119
三角,sānjiǎo,n. triangle; adj. triangular,119
三维,sānwéi,three-dimensional,119
散布,sànbù,to spread,119
散发,sànfā,to distribute,119
桑拿,sāngná,sauna,119
嗓子,sǎngzi,throat,119
丧生,sàngshēng,to meet one's death,119
骚乱,sāoluàn,to riot,119
骚扰,sāorǎo,to harass,119
扫除,sǎochú,to remove,119
扫描,sǎomiáo,to scan,119
扫墓,sǎomù,to sweep a tomb,119
扫兴,sǎoxìng,disappointed; deflated,119
嫂子,sǎozi,sister-in-law,119
僧人,sēngrén,monk,120
杀害,shāhài,to kill,120
杀手,shāshǒu,killer,120
沙龙,shālóng,salon,120
沙滩,shātān,beach,120
纱,shā,yarn,120
刹车,shāchē,brake,120
砂糖,shātáng,granulated sugar,120
鲨鱼,shāyú,shark,120
傻瓜,shǎguā,fool,120
筛,shāi,to screen; to sift,120
筛选,shāixuǎn,to filter,120
晒太阳,shài tàiyáng,to bask in the sun,120
山川,shānchuān,mountains and rivers; landscape,120
山顶,shāndǐng,peak; mountaintop,120
山冈,shāngāng,hillock,120
山岭,shānlǐng,mountain ridge,120
山路,shānlù,mountain road,120
山寨,shānzhài,mountain stronghold; conterfeit; knockoff,120
删,shān,to delete,120
删除,shānchú,to delete,120
煽动,shāndòng,to incite,120
闪烁,shǎnshuò,to flicker; to twinkle,120
善,shàn,good,120
善意,shànyì,good intentions,120
擅长,shàncháng,to be good at,120
擅自,shànzì,arbitrarily,120
膳食,shànshí,meal,120
赡养,shànyǎng,to support,120
伤残,shāngcán,to be wounded and disabled,120
伤感,shānggǎn,sad,121
伤痕,shānghén,scar,121
伤脑筋,shāng nǎojīn,troublesome; headache inducing,121
伤势,shāngshì,condition of an injury,121
商贩,shāngfàn,vendor,121
商贾,shānggǔ,merchant,121
商讨,shāngtǎo,to discuss,121
上报,shàngbào,to report to one's superiors; to appear in the news,121
上场,shàngchǎng,to go on stage; to join a contest or competition,121
上方,shàngfāng,top,121
上岗,shànggǎng,to go on duty; to take up one's post,121
上火,shànghuǒ,to get angry; to suffer from excessive internal heat,121
上空,shàngkōng,in the sky,121
上流,shàngliú,upper class,121
上期,shàng qī,previous period,121
上任,shàngrèn,to take office,121
上述,shàngshù,above-mentioned,121
上司,shàngsi,boss,121
上诉,shàngsù,to appeal (to a higher court),121
上调,shàngtiáo,to raise (prices),121
上头,shàngtou,higher-ups; authorities,121
上限,shàngxiàn,upper limit,121
上旬,shàngxún,first ten-day period of a month,121
上瘾,shàngyǐn,to be addicted to,121
上映,shàngyìng,to show (a film),121
上游,shàngyóu,upstream; advanced position,121
尚,shàng,"adv., conj. yet",121
尚未,shàngwèi,not yet,121
捎,shāo,to take along,121
烧毁,shāohuǐ,to burn down,122
烧烤,shāokǎo,barbecue,122
稍后,shāohòu,later on; in a little while,122
稍候,shāohòu,to wait a moment,122
稍稍,shāoshāo,slightly,122
少不了,shǎobuliǎo,to be indispensable; to be unavoidable,122
少见,shǎojiàn,v. (formal greeting) I haven't seen you for a long time!; adj. rare,122
